#SKIP Value, Thread Number, DOT Best Rate MB/s, DOT Avg. Time, DOT Min. Time, DOT Max. Time
1, 1, 3386.0, 0.048631, 0.047254, 0.051498
1, 4, 13790.8, 0.012407, 0.011602, 0.014975
1, 8, 25948.8, 0.006787, 0.006166, 0.007553
1, 16, 47805.1, 0.004008, 0.003347, 0.004664
1, 32, 57348.2, 0.003078, 0.002790, 0.003602
2, 1, 1923.0, 0.088689, 0.083202, 0.093684
2, 4, 4749.2, 0.033937, 0.033690, 0.034320
2, 8, 10071.9, 0.016230, 0.015886, 0.016645
2, 16, 13072.0, 0.013894, 0.012240, 0.015260
2, 32, 32882.0, 0.005003, 0.004866, 0.005120
4, 1, 1156.4, 0.141582, 0.138359, 0.147480
4, 4, 1954.7, 0.082080, 0.081855, 0.082264
4, 8, 3396.0, 0.047233, 0.047114, 0.047322
4, 16, 9413.4, 0.017711, 0.016997, 0.018451
4, 32, 20240.3, 0.007957, 0.007905, 0.008096
8, 1, 742.5, 0.219119, 0.215493, 0.221902
8, 4, 966.5, 0.165877, 0.165541, 0.166318
8, 8, 1941.8, 0.082636, 0.082399, 0.082800
8, 16, 3555.7, 0.045478, 0.044998, 0.045873
8, 32, 12819.3, 0.013153, 0.012481, 0.014534
16, 1, 495.5, 0.325921, 0.322894, 0.330079
16, 4, 628.7, 0.255184, 0.254485, 0.255817
16, 8, 1065.2, 0.150503, 0.150211, 0.150700
16, 16, 2348.8, 0.068420, 0.068120, 0.068770
16, 32, 6075.6, 0.027172, 0.026335, 0.028383
32, 1, 545.4, 0.301049, 0.293354, 0.307949
32, 4, 1593.4, 0.101103, 0.100413, 0.101660
32, 8, 829.7, 0.195842, 0.192830, 0.199969
32, 16, 1549.9, 0.104066, 0.103232, 0.104918
32, 32, 3732.4, 0.043214, 0.042868, 0.043484
64, 1, 1266.4, 0.128257, 0.126347, 0.129438
64, 4, 2837.6, 0.056653, 0.056385, 0.057008
64, 8, 2981.7, 0.054065, 0.053661, 0.054661
64, 16, 2377.8, 0.073990, 0.067290, 0.079034
64, 32, 5493.6, 0.032687, 0.029125, 0.036075
128, 1, 1608.9, 0.099714, 0.099447, 0.099860
128, 4, 5090.4, 0.035952, 0.031432, 0.043176
128, 8, 6450.8, 0.025029, 0.024803, 0.025246
128, 16, 5544.6, 0.029593, 0.028857, 0.030138
128, 32, 6313.4, 0.039340, 0.025343, 0.050106
254, 1, 555.0, 0.294799, 0.288303, 0.298933
254, 4, 1883.1, 0.088663, 0.084967, 0.092833
254, 8, 3217.4, 0.050267, 0.049729, 0.050786
254, 16, 5429.7, 0.030413, 0.029468, 0.031517
254, 32, 7762.8, 0.020920, 0.020611, 0.021132
512, 1, 887.1, 0.183418, 0.180360, 0.184932
512, 4, 3369.7, 0.049504, 0.047482, 0.051545
512, 8, 8633.7, 0.018765, 0.018532, 0.019158
512, 16, 9427.9, 0.017243, 0.016971, 0.017570
512, 32, 10984.5, 0.015287, 0.014566, 0.016195
